Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30923,30923,Passed,,0.681%,87126016,-40960
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.681%,87203840,77824
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.681%,87068672,-135168
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.681%,87117824,49152
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.681%,86945792,-172032
