Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30701,30701,Passed,,0.676%,85667840,-61440
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.676%,85688320,20480
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.676%,85749760,61440
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.676%,85729280,-20480
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.676%,85729280,0
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.676%,85749760,20480
