Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30716,30716,Passed,,0.677%,85864448,-49152
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.677%,86044672,180224
3,ModuleSystem,System temperature (in 0.1 °C),5,410,420,Passed,,0.677%,85979136,-65536
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.677%,86036480,57344
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.677%,85995520,-40960
