Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,28741,28741,Passed,,0.651%,83800064,110592
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.651%,83894272,94208
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.651%,83869696,-24576
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.651%,84033536,163840
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.651%,84074496,40960
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.651%,84115456,40960
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.651%,84103168,-12288
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.651%,84140032,36864
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.651%,84074496,-65536
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.651%,84123648,49152
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.651%,84111360,-12288
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.652%,84017152,-94208
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.652%,84008960,-8192
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,0.652%,83996672,-12288
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,0.652%,84033536,36864
