Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30118,30118,Passed,,0.667%,85999616,-69632
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.668%,86044672,45056
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.668%,86188032,143360
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.668%,86134784,-53248
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.668%,86138880,4096
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.668%,86343680,204800
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.668%,86089728,-253952
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.668%,86192128,102400
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.668%,86183936,-8192
