Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,2192,2192,Passed,,2.702%,83361792,-69632
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,2.704%,83300352,-61440
3,ModuleSystem,System temperature (in 0.1 °C),5,360,360,Passed,,2.704%,83230720,-69632
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,2.705%,83517440,286720
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,2.705%,83435520,-81920
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,2.706%,83574784,139264
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,2.707%,83492864,-81920
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,2.708%,83496960,4096
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,2.708%,83488768,-8192
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,2.711%,83513344,24576
