Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,30632,30632,Passed,,0.675%,86048768,102400
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.675%,85979136,-69632
3,ModuleSystem,System temperature (in 0.1 °C),5,410,420,Passed,,0.675%,86097920,118784
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.675%,86126592,28672
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.675%,86179840,53248
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.675%,86163456,-16384
