Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,24658,24658,Passed,,0.659%,83755008,61440
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.659%,83820544,65536
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.659%,83853312,32768
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.659%,83996672,143360
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.659%,84082688,86016
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.659%,84029440,-53248
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.659%,84021248,-8192
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.659%,83968000,-53248
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.659%,84013056,45056
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.66%,84033536,20480
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,0.66%,84041728,8192
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,0.66%,84107264,65536
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,0.66%,84213760,106496
