Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,3064,3064,Passed,,1.2928757084685327%,76820480,-110592
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,1.2935867812189472%,76955648,135168
3,ModuleSystem,System temperature (in 0.1 °C),5,360,360,Passed,,1.2941604296995979%,76865536,-90112
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,1.2944382154525091%,76890112,24576
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,1.2948681095220405%,76902400,12288
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,1.2953297861972857%,77025280,122880
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,1.2958605999906614%,76738560,-286720
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,1.296404118423089%,76849152,110592
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,1.2970912074576235%,77017088,167936
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,1.2992318738773267%,76951552,-65536
11,ModuleMobile,IMSI,348,246020102861314,246020102861314,Passed,,1.3003544560777347%,76984320,32768
12,ModuleMobile,GSM operator name,23,bite,bite,Passed,,1.3008410899792766%,77053952,69632
13,ModuleMobile,Currently active SIM card slot,87,sim1,sim1,Passed,,1.301748513579315%,77053952,0
14,ModuleMobile,Network registration info,103,registered(home),registered(home),Passed,,1.302959583131491%,77053952,0
15,ModuleMobile,Network type,119,lte,lte-a,Failed,,1.3044157701518455%,77500416,446464
16,ModuleMobile,Mobile data received today (SIM1),185,8648663,8648663,Passed,,1.3049618002091257%,77373440,-126976
17,ModuleMobile,Mobile data sent today (SIM1),187,2926493,2926493,Passed,,1.305647935662535%,77271040,-102400
