Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,2952,2952,Passed,,1.3195322578313462%,77021184,20480
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-59,-59,Passed,,1.3204940161129164%,77189120,167936
3,ModuleSystem,System temperature (in 0.1 °C),5,360,360,Passed,,1.3209791416738836%,77389824,200704
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,1.3214319721413625%,77361152,-28672
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,1.3218289664858385%,77422592,61440
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,1.3222806067494597%,77381632,-40960
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,1.3228932275041405%,77262848,-118784
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,1.3234084077957786%,77193216,-69632
