Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,503,503,Passed,,6.284%,84008960,-4096
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,6.286%,84099072,90112
3,ModuleSystem,System temperature (in 0.1 °C),5,300,300,Passed,,6.286%,84250624,151552
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,6.288%,84094976,-155648
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,6.291%,84152320,57344
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,6.293%,84279296,126976
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,6.296%,84242432,-36864
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,6.297%,84180992,-61440
