Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,31178,31178,Passed,,0.682%,85458944,32768
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.682%,85409792,-49152
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.682%,85573632,163840
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.682%,85532672,-40960
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.682%,85639168,106496
