Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,928,928,Passed,,4.536%,83992576,-40960
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-61,-61,Passed,,4.538%,84148224,155648
3,ModuleSystem,System temperature (in 0.1 °C),5,320,320,Passed,,4.539%,84160512,12288
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,4.539%,84090880,-69632
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,4.54%,84209664,118784
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,4.541%,84176896,-32768
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,4.543%,84307968,131072
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,4.545%,84152320,-155648
