Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,29276,29276,Passed,,0.651%,84127744,-12288
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.651%,84135936,8192
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.651%,84197376,61440
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.651%,84328448,131072
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.651%,84316160,-12288
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.651%,84369408,53248
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.651%,84254720,-114688
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.651%,84303872,49152
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.651%,84246528,-57344
