Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,25343,25343,Passed,,0.664%,84295680,73728
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-75,-75,Passed,,0.664%,84418560,122880
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.664%,84393984,-24576
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.664%,84627456,233472
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.664%,84586496,-40960
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.664%,84627456,40960
