Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,33241,33241,Passed,,0.697%,85008384,28672
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.697%,84918272,-90112
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.697%,84791296,-126976
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.697%,85020672,229376
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.697%,85086208,65536
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.697%,85143552,57344
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.697%,85176320,32768
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.697%,85213184,36864
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.697%,85118976,-94208
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.697%,85229568,110592
