Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,28244,28244,Passed,,0.652%,83894272,-86016
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.653%,84029440,135168
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.653%,84033536,4096
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.653%,84041728,8192
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.653%,84131840,90112
