Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,32835,32835,Passed,,0.687%,84463616,-24576
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-79,-79,Passed,,0.687%,84312064,-151552
3,ModuleSystem,System temperature (in 0.1 °C),5,420,420,Passed,,0.687%,84381696,69632
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.687%,84471808,90112
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.687%,84529152,57344
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.687%,84357120,-172032
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.687%,84516864,159744
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.687%,84422656,-94208
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.687%,84320256,-102400
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.687%,84611072,290816
