Model,RUTX09

Iteration nr.,Module name,Register name,Register number,Modbus value,Router value,Result,,CPU usage,Used RAM,Used RAM difference
1,ModuleSystem,System uptime,1,24070,24070,Passed,,0.659%,83931136,-139264
2,ModuleSystem,Mobile signal strength (RSSI in dBm),3,-77,-77,Passed,,0.659%,84049920,118784
3,ModuleSystem,System temperature (in 0.1 °C),5,410,410,Passed,,0.659%,84197376,147456
4,ModuleSystem,System hostname,7,teltonika-rutx09.com,teltonika-rutx09.com,Passed,,0.659%,84291584,94208
5,ModuleSystem,Router serial number,39,1107883912,1107883912,Passed,,0.66%,84303872,12288
6,ModuleSystem,Router name,71,rutx09,rutx09,Passed,,0.66%,84299776,-4096
7,ModuleSystem,Digital non-isolated input (4 PIN connector),324,0,0,Passed,,0.66%,84385792,86016
8,ModuleSystem,Digital open collector output (4 PIN connector),325,0,0,Passed,,0.66%,84385792,0
9,ModuleNetwork,LAN MAC address,55,001e4232c81d,001e4232c81d,Passed,,0.66%,84357120,-28672
10,ModuleNetwork,Current WAN IP address,139,84.15.161.183,84.15.161.183,Passed,,0.66%,84611072,253952
